swimmer_id,class_id,instructor_id,class_name,session,status
1072,5001,14,Adapted Saturday 6:15 pm,2024 Fall,archived
1217,5002,8,RSS 5 Tuesday 6:15 pm,2024 Fall,archived
1094,5003,4,RSS 7 Monday 4:30 pm,2024 Fall,archived
1143,5004,8,RSS 4 Thursday 4:00 pm,2024 Fall,archived
1237,5005,10,Adult Learn to Swim Tuesday 10:30 am,2024 Fall,archived
1128,5006,1,RSS 11 Tuesday 4:30 pm,2024 Fall,archived
1039,5007,11,RSS 5 Monday 4:00 pm,2024 Fall,archived
1227,5008,12,RSS 11 Friday 4:30 pm,2024 Fall,archived
1282,5009,22,Adult Learn to Swim Friday 4:00 pm,2024 Fall,archived
1051,5010,1,RSS 2 Wednesday 10:30 am,2024 Fall,archived
1026,5011,19,RSS 5 Monday 9:00 am,2024 Fall,archived
1277,5012,20,RSS 7 Wednesday 6:15 pm,2024 Fall,archived
1008,5013,11,RSS 7 Friday 5:00 pm,2024 Fall,archived
1048,5014,4,RSS 7 Friday 10:30 am,2024 Fall,archived
1122,5015,9,RSS 1 Saturday 4:30 pm,2024 Fall,archived
1086,5016,1,RSS 9 Friday 6:15 pm,2024 Fall,archived
1209,5017,24,RSS 12 Saturday 6:15 pm,2024 Fall,archived
1249,5018,7,RSS 6 Thursday 9:00 am,2024 Fall,archived
1247,5019,22,RSS 6 Friday 4:00 pm,2024 Fall,archived
1110,5020,22,Adult Learn to Swim Monday 6:15 pm,2024 Fall,archived
1206,5021,10,RSS 9 Wednesday 6:15 pm,2024 Fall,archived
1031,5022,14,RSS 6 Thursday 6:15 pm,2024 Fall,archived
1085,5023,10,RSS 9 Tuesday 10:30 am,2024 Fall,archived
1195,5024,14,RSS 11 Thursday 6:15 pm,2024 Fall,archived
1002,5025,24,RSS 3 Friday 5:00 pm,2024 Fall,archived
1200,5026,10,RSS 7 Friday 9:00 am,2024 Fall,archived
1136,5027,10,RSS 5 Tuesday 4:30 pm,2024 Fall,archived
1233,5028,19,RSS 10 Saturday 4:00 pm,2024 Fall,archived
1147,5029,15,RSS 8 Thursday 6:15 pm,2024 Fall,archived
1299,5030,7,RSS 9 Thursday 6:15 pm,2024 Fall,archived
1250,5031,6,RSS 11 Monday 4:00 pm,2024 Fall,archived
1080,5032,17,RSS 11 Saturday 5:00 pm,2024 Fall,archived
1098,5033,11,RSS 2 Tuesday 6:15 pm,2024 Fall,archived
1152,5034,10,RSS 4 Tuesday 10:30 am,2024 Fall,archived
1112,5035,1,RSS 1 Tuesday 4:30 pm,2024 Fall,archived
1030,5036,20,Adult Learn to Swim Monday 4:30 pm,2024 Fall,archived
1032,5037,14,RSS 11 Friday 10:30 am,2024 Fall,archived
1161,5038,23,RSS 12 Thursday 4:30 pm,2024 Fall,archived
1265,5039,13,RSS 4 Tuesday 6:15 pm,2024 Fall,archived
1290,5040,23,RSS 1 Monday 4:30 pm,2024 Fall,archived
1245,5041,8,RSS 3 Saturday 5:00 pm,2024 Fall,archived
1258,5042,15,RSS 1 Friday 10:30 am,2024 Fall,archived
1081,5043,4,RSS 8 Tuesday 4:30 pm,2024 Fall,archived
1262,5044,22,RSS 9 Friday 5:00 pm,2024 Fall,archived
1042,5045,11,Adapted Thursday 5:00 pm,2024 Fall,archived
1218,5046,24,RSS 9 Thursday 5:00 pm,2024 Fall,archived
1287,5047,15,RSS 3 Saturday 4:30 pm,2024 Fall,archived
1018,5048,15,RSS 5 Tuesday 6:15 pm,2024 Fall,archived
1153,5049,9,Adapted Friday 4:30 pm,2024 Fall,archived
1253,5050,21,RSS 4 Wednesday 4:30 pm,2024 Fall,archived
1173,5051,3,RSS 12 Wednesday 10:30 am,2024 Fall,archived
1221,5052,9,RSS 6 Wednesday 5:00 pm,2024 Fall,archived
1061,5053,3,RSS 3 Tuesday 10:30 am,2024 Fall,archived
1104,5054,13,RSS 12 Tuesday 6:15 pm,2024 Fall,archived
1279,5055,7,RSS 2 Thursday 4:30 pm,2024 Fall,archived
1242,5056,11,RSS 9 Thursday 4:30 pm,2024 Fall,archived
1228,5057,2,RSS 4 Thursday 4:30 pm,2024 Fall,archived
1146,5058,25,RSS 10 Saturday 9:00 am,2024 Fall,archived
1064,5059,25,RSS 10 Thursday 4:30 pm,2024 Fall,archived
1149,5060,1,RSS 6 Wednesday 4:30 pm,2024 Fall,archived
1252,5061,14,RSS 9 Saturday 6:15 pm,2024 Fall,archived
1011,5062,18,Adapted Friday 10:30 am,2024 Fall,archived
1159,5063,16,RSS 4 Wednesday 4:30 pm,2024 Fall,archived
1021,5064,16,RSS 1 Thursday 4:00 pm,2024 Fall,archived
1108,5065,22,RSS 11 Thursday 6:15 pm,2024 Fall,archived
1169,5066,6,Adult Learn to Swim Thursday 10:30 am,2024 Fall,archived
1150,5067,20,RSS 9 Monday 4:30 pm,2024 Fall,archived
1145,5068,19,RSS 10 Saturday 9:00 am,2024 Fall,archived
1134,5069,3,RSS 11 Thursday 10:30 am,2024 Fall,archived
1259,5070,15,RSS 3 Monday 4:00 pm,2024 Fall,archived
1067,5071,13,RSS 6 Tuesday 4:30 pm,2024 Fall,archived
1053,5072,11,RSS 6 Thursday 4:00 pm,2024 Fall,archived
1172,5073,25,Adult Learn to Swim Thursday 4:00 pm,2024 Fall,archived
1184,5074,3,RSS 8 Monday 6:15 pm,2024 Fall,archived
1231,5075,18,RSS 1 Wednesday 10:30 am,2024 Fall,archived
1062,5076,21,RSS 2 Saturday 9:00 am,2024 Fall,archived
1068,5077,25,RSS 1 Tuesday 10:30 am,2024 Fall,archived
1102,5078,1,RSS 10 Tuesday 10:30 am,2024 Fall,archived
1034,5079,5,RSS 8 Saturday 9:00 am,2024 Fall,archived
1244,5080,19,RSS 4 Thursday 6:15 pm,2024 Fall,archived
1166,5081,9,Adapted Wednesday 10:30 am,2024 Fall,archived
1077,5082,20,RSS 10 Saturday 6:15 pm,2024 Fall,archived
1118,5083,4,Adapted Tuesday 4:00 pm,2024 Fall,archived
1226,5084,4,RSS 10 Monday 4:00 pm,2024 Fall,archived
1193,5085,19,RSS 11 Thursday 4:30 pm,2024 Fall,archived
